"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
3	0.906827278325123	17	17	"Churn"	"Yes"	0
4	0.878734696851924	16	17	"Churn"	"Yes"	0
5	0.909389574426739	17	17	"Churn"	"Yes"	0
6	0.913167383250523	16	17	"Churn"	"Yes"	0
7	0.894259014976001	16	17	"Churn"	"Yes"	0
8	0.896221405228758	16	17	"Churn"	"Yes"	0
9	0.920072480710779	17	17	"Churn"	"Yes"	0
10	0.915352089770694	15	17	"Churn"	"Yes"	0
11	0.890713778409091	13	17	"Churn"	"Yes"	0
12	0.914389088448123	16	17	"Churn"	"Yes"	0
