"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
19	0.98333920078037	8	9	"CO2"	0
20	0.981429690926215	9	9	"CO2"	0
21	0.979267455288867	8	9	"CO2"	0
22	0.974425338576433	7	9	"CO2"	0
23	0.967090460779781	9	9	"CO2"	0
24	0.97735312751494	9	9	"CO2"	0
25	0.973338641461619	8	9	"CO2"	0
26	0.980874004251763	9	9	"CO2"	0
27	0.97074564586357	9	9	"CO2"	0
28	0.984687753148244	9	9	"CO2"	0
29	0.978480821504077	8	9	"CO2"	0
30	0.986635211946551	6	9	"CO2"	0
1	0.978320652173913	10	10	"CO2"	0
2	0.986360083145309	9	10	"CO2"	0
3	0.978406567396919	10	10	"CO2"	0
4	0.981560791182502	8	10	"CO2"	0
5	0.969481399036089	10	10	"CO2"	0
6	0.976893738274751	9	10	"CO2"	0
7	0.974565607835766	7	10	"CO2"	0
8	0.97557850722799	7	10	"CO2"	0
9	0.976969359712723	6	10	"CO2"	0
10	0.97759798633585	9	10	"CO2"	0
11	0.968888449227334	8	10	"CO2"	0
12	0.9906403803716	10	10	"CO2"	0
13	0.980983536293271	10	10	"CO2"	0
14	0.978110537078894	8	10	"CO2"	0
15	0.981043485490979	6	10	"CO2"	0
16	0.98569206127108	9	10	"CO2"	0
17	0.974131776270943	9	10	"CO2"	0
18	0.9858189429618	8	10	"CO2"	0
19	0.96984561266367	10	10	"CO2"	0
20	0.984990103740104	9	10	"CO2"	0
21	0.981232083134257	10	10	"CO2"	0
22	0.974010639481376	8	10	"CO2"	0
23	0.981873944395562	8	10	"CO2"	0
24	0.981186594202899	8	10	"CO2"	0
25	0.98540014155216	10	10	"CO2"	0
26	0.983446419805035	10	10	"CO2"	0
27	0.97100987575661	7	10	"CO2"	0
28	0.980516206179923	7	10	"CO2"	0
29	0.973054175669956	8	10	"CO2"	0
30	0.984624285953583	8	10	"CO2"	0
1	0.978172570965982	11	11	"CO2"	0
2	0.98604905727817	8	11	"CO2"	0
3	0.974794305863915	11	11	"CO2"	0
4	0.97249215422551	10	11	"CO2"	0
5	0.970005829133943	9	11	"CO2"	0
6	0.970853514153482	10	11	"CO2"	0
7	0.967707945273523	8	11	"CO2"	0
8	0.984668982617112	9	11	"CO2"	0
9	0.981583237027208	8	11	"CO2"	0
10	0.975168090071288	7	11	"CO2"	0
11	0.982483840595809	7	11	"CO2"	0
12	0.982235887833232	10	11	"CO2"	0
13	0.982614115841964	6	11	"CO2"	0
14	0.979344119619341	9	11	"CO2"	0
15	0.981389080856945	9	11	"CO2"	0
16	0.972055678640304	10	11	"CO2"	0
17	0.980595023074961	7	11	"CO2"	0
18	0.982408220892032	11	11	"CO2"	0
19	0.967162631696929	10	11	"CO2"	0
20	0.97613806988807	11	11	"CO2"	0
21	0.980292733000602	8	11	"CO2"	0
22	0.985538087379484	8	11	"CO2"	0
23	0.975175797366627	9	11	"CO2"	0
24	0.973620535049791	9	11	"CO2"	0
25	0.977076292919997	10	11	"CO2"	0
26	0.976985040276179	11	11	"CO2"	0
27	0.971044905758707	7	11	"CO2"	0
28	0.977018023704327	8	11	"CO2"	0
29	0.982321093494465	7	11	"CO2"	0
30	0.983906241541709	8	11	"CO2"	0
1	0.98003744961757	7	12	"CO2"	0
2	0.977367513910906	12	12	"CO2"	0
3	0.972093614491913	8	12	"CO2"	0
4	0.979915302380829	9	12	"CO2"	0
5	0.986766840111854	7	12	"CO2"	0
6	0.975183928146439	10	12	"CO2"	0
7	0.969445363967392	6	12	"CO2"	0
8	0.97826697852864	11	12	"CO2"	0
9	0.977641698560233	9	12	"CO2"	0
10	0.974815386020629	10	12	"CO2"	0
11	0.981136496185496	7	12	"CO2"	0
12	0.97799403059321	11	12	"CO2"	0
13	0.979060656390943	7	12	"CO2"	0
14	0.979181480833868	9	12	"CO2"	0
15	0.977481995019183	10	12	"CO2"	0
16	0.988567988197347	8	12	"CO2"	0
17	0.986037849704007	8	12	"CO2"	0
18	0.99598783891547	10	12	"CO2"	0
19	0.989320640461268	11	12	"CO2"	0
20	0.966623816555198	8	12	"CO2"	0
21	0.984188853441785	12	12	"CO2"	0
22	0.972548551193053	6	12	"CO2"	0
23	0.97191352523272	8	12	"CO2"	0
24	0.985443955457065	9	12	"CO2"	0
25	0.983608739654631	9	12	"CO2"	0
26	0.978939617083947	9	12	"CO2"	0
27	0.978593522189974	12	12	"CO2"	0
28	0.980679297012543	9	12	"CO2"	0
29	0.96431322117253	9	12	"CO2"	0
30	0.97338982459811	8	12	"CO2"	0
1	0.96818585406886	8	13	"CO2"	0
2	0.968391348158064	8	13	"CO2"	0
3	0.987637165884692	8	13	"CO2"	0
4	0.972625048797461	11	13	"CO2"	0
5	0.976008836474131	9	13	"CO2"	0
6	0.98425616696318	10	13	"CO2"	0
7	0.977549520107086	11	13	"CO2"	0
8	0.980693067557923	12	13	"CO2"	0
9	0.977679216872781	9	13	"CO2"	0
10	0.974047853031427	6	13	"CO2"	0
11	0.982566317601284	8	13	"CO2"	0
12	0.976069499964934	8	13	"CO2"	0
13	0.983960527284778	8	13	"CO2"	0
14	0.982413265872462	9	13	"CO2"	0
15	0.98463727694976	8	13	"CO2"	0
16	0.974004781702582	8	13	"CO2"	0
17	0.983614850622523	7	13	"CO2"	0
18	0.975210036268157	7	13	"CO2"	0
19	0.972685878565649	7	13	"CO2"	0
20	0.985853178938169	8	13	"CO2"	0
21	0.982016174049448	9	13	"CO2"	0
22	0.975547260869258	11	13	"CO2"	0
23	0.982195850989456	9	13	"CO2"	0
24	0.974860919143055	12	13	"CO2"	0
25	0.989680348619451	9	13	"CO2"	0
26	0.979298115567297	10	13	"CO2"	0
27	0.976028321594291	9	13	"CO2"	0
28	0.980008978448231	12	13	"CO2"	0
29	0.97646660436595	8	13	"CO2"	0
30	0.974732946334027	12	13	"CO2"	0
1	0.979879092402549	9	14	"CO2"	0
2	0.977659108413473	8	14	"CO2"	0
