"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
14	0.974481958513712	8	8	"CO2"	"Yes"	0.1
15	0.961222736517287	8	8	"CO2"	"Yes"	0.1
16	0.964422698241468	8	8	"CO2"	"Yes"	0.1
17	0.957702572746821	8	8	"CO2"	"Yes"	0.1
18	0.965112663724246	8	8	"CO2"	"Yes"	0.1
19	0.965843895810717	8	8	"CO2"	"Yes"	0.1
20	0.962078241531135	8	8	"CO2"	"Yes"	0.1
21	0.96681141439206	8	8	"CO2"	"Yes"	0.1
22	0.965363610232826	8	8	"CO2"	"Yes"	0.1
23	0.97124640207125	8	8	"CO2"	"Yes"	0.1
24	0.964308221704211	8	8	"CO2"	"Yes"	0.1
25	0.974966649545578	8	8	"CO2"	"Yes"	0.1
26	0.963902795197054	8	8	"CO2"	"Yes"	0.1
27	0.97586188691199	8	8	"CO2"	"Yes"	0.1
28	0.973145564554025	8	8	"CO2"	"Yes"	0.1
29	0.978008915564157	8	8	"CO2"	"Yes"	0.1
30	0.981190578696229	8	8	"CO2"	"Yes"	0.1
1	0.952408563940519	8	9	"CO2"	"Yes"	0.1
2	0.973040386723251	8	9	"CO2"	"Yes"	0.1
3	0.968013092122572	9	9	"CO2"	"Yes"	0.1
4	0.967063464531029	9	9	"CO2"	"Yes"	0.1
5	0.969282558384178	9	9	"CO2"	"Yes"	0.1
6	0.970087784503203	9	9	"CO2"	"Yes"	0.1
7	0.965476848652384	9	9	"CO2"	"Yes"	0.1
8	0.970848605923738	9	9	"CO2"	"Yes"	0.1
9	0.973847194397356	8	9	"CO2"	"Yes"	0.1
10	0.974074899527654	8	9	"CO2"	"Yes"	0.1
11	0.971362633434834	9	9	"CO2"	"Yes"	0.1
12	0.980022259627197	8	9	"CO2"	"Yes"	0.1
13	0.959152773353156	8	9	"CO2"	"Yes"	0.1
14	0.962953816385763	9	9	"CO2"	"Yes"	0.1
15	0.96755146397969	9	9	"CO2"	"Yes"	0.1
16	0.966205260404991	9	9	"CO2"	"Yes"	0.1
17	0.97527571567073	9	9	"CO2"	"Yes"	0.1
18	0.974996488270825	9	9	"CO2"	"Yes"	0.1
19	0.960031906906907	9	9	"CO2"	"Yes"	0.1
20	0.974678838044361	9	9	"CO2"	"Yes"	0.1
21	0.973596920289855	9	9	"CO2"	"Yes"	0.1
22	0.976084006923498	9	9	"CO2"	"Yes"	0.1
23	0.936186702226377	9	9	"CO2"	"Yes"	0.1
24	0.966046737969046	9	9	"CO2"	"Yes"	0.1
25	0.972027538848182	9	9	"CO2"	"Yes"	0.1
26	0.974409130105767	9	9	"CO2"	"Yes"	0.1
27	0.977233809565805	9	9	"CO2"	"Yes"	0.1
28	0.977236076864655	9	9	"CO2"	"Yes"	0.1
29	0.979789951097496	9	9	"CO2"	"Yes"	0.1
30	0.980737885424361	9	9	"CO2"	"Yes"	0.1
1	0.977131052076979	10	10	"CO2"	"Yes"	0.1
2	0.96712777894663	9	10	"CO2"	"Yes"	0.1
3	0.97508567954975	10	10	"CO2"	"Yes"	0.1
4	0.982508685755361	10	10	"CO2"	"Yes"	0.1
5	0.979678596636196	10	10	"CO2"	"Yes"	0.1
6	0.979071380720982	10	10	"CO2"	"Yes"	0.1
7	0.973241847826087	10	10	"CO2"	"Yes"	0.1
8	0.986061779946672	10	10	"CO2"	"Yes"	0.1
9	0.977571485134879	9	10	"CO2"	"Yes"	0.1
10	0.977114488438251	9	10	"CO2"	"Yes"	0.1
11	0.979980692542269	10	10	"CO2"	"Yes"	0.1
12	0.976956493769417	10	10	"CO2"	"Yes"	0.1
13	0.98552215045106	10	10	"CO2"	"Yes"	0.1
14	0.973700790172993	9	10	"CO2"	"Yes"	0.1
15	0.974367737525632	8	10	"CO2"	"Yes"	0.1
16	0.969062631135372	10	10	"CO2"	"Yes"	0.1
17	0.9721269879766	10	10	"CO2"	"Yes"	0.1
18	0.978776857456373	9	10	"CO2"	"Yes"	0.1
19	0.978399036264695	10	10	"CO2"	"Yes"	0.1
20	0.984216149883102	10	10	"CO2"	"Yes"	0.1
21	0.982319089417645	10	10	"CO2"	"Yes"	0.1
22	0.978325427440472	10	10	"CO2"	"Yes"	0.1
23	0.971989866516849	9	10	"CO2"	"Yes"	0.1
24	0.971918747144103	9	10	"CO2"	"Yes"	0.1
25	0.976931278472424	10	10	"CO2"	"Yes"	0.1
26	0.966925007009699	9	10	"CO2"	"Yes"	0.1
27	0.966969754673268	10	10	"CO2"	"Yes"	0.1
28	0.983767739074343	10	10	"CO2"	"Yes"	0.1
29	0.97769747578958	10	10	"CO2"	"Yes"	0.1
30	0.967395577062535	9	10	"CO2"	"Yes"	0.1
1	0.97675794747754	10	11	"CO2"	"Yes"	0.1
2	0.957128271989459	8	11	"CO2"	"Yes"	0.1
3	0.969731341579991	11	11	"CO2"	"Yes"	0.1
4	0.969798218267667	10	11	"CO2"	"Yes"	0.1
5	0.976019867150401	8	11	"CO2"	"Yes"	0.1
6	0.980448342661124	10	11	"CO2"	"Yes"	0.1
7	0.972079550883899	11	11	"CO2"	"Yes"	0.1
8	0.97225912539481	9	11	"CO2"	"Yes"	0.1
9	0.952438113436984	11	11	"CO2"	"Yes"	0.1
10	0.970690219867851	11	11	"CO2"	"Yes"	0.1
11	0.979561514957422	10	11	"CO2"	"Yes"	0.1
12	0.975247031635987	10	11	"CO2"	"Yes"	0.1
