"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"q_noisy_var"	"noise_level"
30	0.982189860474321	8	13	"CO2"	1	10
1	0.978711272307331	9	14	"CO2"	1	10
2	0.974650433854749	11	14	"CO2"	1	10
3	0.978367839028852	10	14	"CO2"	1	10
4	0.971552664234949	10	14	"CO2"	1	10
5	0.98019107152277	10	14	"CO2"	1	10
6	0.985658101283101	9	14	"CO2"	1	10
7	0.978146455510066	8	14	"CO2"	1	10
8	0.968097041452951	8	14	"CO2"	1	10
9	0.980986237623406	8	14	"CO2"	1	10
10	0.972762362537324	9	14	"CO2"	1	10
11	0.972673644703348	9	14	"CO2"	1	10
12	0.979718750571831	10	14	"CO2"	1	10
13	0.973066096465111	9	14	"CO2"	1	10
14	0.974826803631151	8	14	"CO2"	1	10
15	0.980259392466242	9	14	"CO2"	1	10
16	0.981471535021287	10	14	"CO2"	1	10
17	0.977050732496686	10	14	"CO2"	1	10
18	0.988294396980474	11	14	"CO2"	1	10
19	0.981146480194371	9	14	"CO2"	1	10
20	0.979590311004785	9	14	"CO2"	1	10
21	0.977227894307102	11	14	"CO2"	1	10
22	0.980273838004101	9	14	"CO2"	1	10
23	0.985953642526942	11	14	"CO2"	1	10
24	0.983273563718032	9	14	"CO2"	1	10
25	0.981420051648618	11	14	"CO2"	1	10
26	0.987611195974481	14	14	"CO2"	1	10
27	0.973034418433753	8	14	"CO2"	1	10
28	0.980892394338118	8	14	"CO2"	1	10
29	0.98492001580435	9	14	"CO2"	1	10
30	0.979882880987446	9	14	"CO2"	1	10
1	0.975289664332706	9	15	"CO2"	1	10
2	0.978367904905421	8	15	"CO2"	1	10
3	0.974318605723912	10	15	"CO2"	1	10
4	0.974517371853906	11	15	"CO2"	1	10
5	0.988194791699915	10	15	"CO2"	1	10
6	0.975072691714697	9	15	"CO2"	1	10
7	0.981907478710548	9	15	"CO2"	1	10
8	0.975389521559152	7	15	"CO2"	1	10
9	0.979609601449275	12	15	"CO2"	1	10
10	0.98125501272797	10	15	"CO2"	1	10
11	0.975045754533858	11	15	"CO2"	1	10
12	0.978500041573127	7	15	"CO2"	1	10
13	0.980447264041374	9	15	"CO2"	1	10
14	0.972411994346099	12	15	"CO2"	1	10
15	0.973377118913534	9	15	"CO2"	1	10
16	0.983787897113369	10	15	"CO2"	1	10
17	0.970655184633409	12	15	"CO2"	1	10
18	0.978417009516251	9	15	"CO2"	1	10
19	0.987609601449275	12	15	"CO2"	1	10
20	0.983582274217606	9	15	"CO2"	1	10
21	0.980464408339528	9	15	"CO2"	1	10
22	0.977536504861335	8	15	"CO2"	1	10
23	0.97183541492707	11	15	"CO2"	1	10
24	0.974590579710145	8	15	"CO2"	1	10
25	0.980703020691431	9	15	"CO2"	1	10
26	0.977243098294977	8	15	"CO2"	1	10
27	0.983221319972357	9	15	"CO2"	1	10
28	0.980841327303391	10	15	"CO2"	1	10
29	0.979515595140595	8	15	"CO2"	1	10
30	0.977749968844764	9	15	"CO2"	1	10
1	0.982827352774917	7	16	"CO2"	1	10
